Date,Series,Value
2017-08-19,Volume Intensity,0.2023
2017-08-20,Volume Intensity,0.2029
2017-08-21,Volume Intensity,0.2079
2017-08-22,Volume Intensity,0.2089
2017-08-23,Volume Intensity,0.1999
2017-08-24,Volume Intensity,0.23
2017-08-25,Volume Intensity,0.2215
2017-08-26,Volume Intensity,0.2111
2017-08-27,Volume Intensity,0.2129
2017-08-28,Volume Intensity,0.2167
2017-08-29,Volume Intensity,0.2168
2017-08-30,Volume Intensity,0.1785
2017-08-31,Volume Intensity,0.1858
2017-09-01,Volume Intensity,0.2025
2017-09-02,Volume Intensity,0.1985
2017-09-03,Volume Intensity,0.1968
2017-09-04,Volume Intensity,0.2078
2017-09-05,Volume Intensity,0.2133
2017-09-06,Volume Intensity,0.222
2017-09-07,Volume Intensity,0.2115
2017-09-08,Volume Intensity,0.2096
2017-09-09,Volume Intensity,0.2091
2017-09-10,Volume Intensity,0.2081
2017-09-11,Volume Intensity,0.209
2017-09-12,Volume Intensity,0.2048
2017-09-13,Volume Intensity,0.2071
2017-09-14,Volume Intensity,0.2087
2017-09-15,Volume Intensity,0.1986
2017-09-16,Volume Intensity,0.1907
2017-09-17,Volume Intensity,0.2034
2017-09-18,Volume Intensity,0.2085
2017-09-19,Volume Intensity,0.2188
2017-09-20,Volume Intensity,0.2295
2017-09-21,Volume Intensity,0.2369
2017-09-22,Volume Intensity,0.2486
2017-09-23,Volume Intensity,0.2364
2017-09-24,Volume Intensity,0.2411
2017-09-25,Volume Intensity,0.223
2017-09-26,Volume Intensity,0.2104
2017-09-27,Volume Intensity,0.2095
2017-09-28,Volume Intensity,0.199
2017-09-29,Volume Intensity,0.205
2017-09-30,Volume Intensity,0.2076
2017-10-01,Volume Intensity,0.2296
2017-10-02,Volume Intensity,0.248
2017-10-03,Volume Intensity,0.2515
2017-10-04,Volume Intensity,0.2541
2017-10-05,Volume Intensity,0.2459
2017-10-06,Volume Intensity,0.2295
2017-10-07,Volume Intensity,0.2128
2017-10-08,Volume Intensity,0.2084
2017-10-09,Volume Intensity,0.2049
2017-10-10,Volume Intensity,0.2047
2017-10-11,Volume Intensity,0.2175
2017-10-12,Volume Intensity,0.2139
2017-10-13,Volume Intensity,0.2114
2017-10-14,Volume Intensity,0.2022
2017-10-15,Volume Intensity,0.212
2017-10-16,Volume Intensity,0.2038
2017-10-17,Volume Intensity,0.1932
2017-10-18,Volume Intensity,0.2033
2017-10-19,Volume Intensity,0.2195
2017-10-20,Volume Intensity,0.2329
2017-10-21,Volume Intensity,0.2233
2017-10-22,Volume Intensity,0.2335
2017-10-23,Volume Intensity,0.2369
2017-10-24,Volume Intensity,0.2296
2017-10-25,Volume Intensity,0.2219
2017-10-26,Volume Intensity,0.2128
2017-10-27,Volume Intensity,0.2114
2017-10-28,Volume Intensity,0.195
2017-10-29,Volume Intensity,0.1928
2017-10-30,Volume Intensity,0.1938
2017-10-31,Volume Intensity,0.184
2017-11-01,Volume Intensity,0.1764
2017-11-02,Volume Intensity,0.1707
2017-11-03,Volume Intensity,0.1792
2017-11-04,Volume Intensity,0.1642
2017-11-05,Volume Intensity,0.1567
2017-11-06,Volume Intensity,0.1742
2017-11-07,Volume Intensity,0.1892
2017-11-08,Volume Intensity,0.1911
2017-11-09,Volume Intensity,0.1933
2017-11-10,Volume Intensity,0.2214
2017-11-11,Volume Intensity,0.2331
2017-11-12,Volume Intensity,0.2256
2017-11-13,Volume Intensity,0.2122
2017-11-14,Volume Intensity,0.2189
2017-11-15,Volume Intensity,0.2283
2017-11-16,Volume Intensity,0.2148
2017-11-17,Volume Intensity,0.2139
2017-11-18,Volume Intensity,0.2053
2017-11-19,Volume Intensity,0.196
2017-11-20,Volume Intensity,0.1947
2017-11-21,Volume Intensity,0.1882
2017-11-22,Volume Intensity,0.1912
2017-11-23,Volume Intensity,0.1975
2017-11-24,Volume Intensity,0.2214
2017-11-25,Volume Intensity,0.2438
2017-11-26,Volume Intensity,0.2502
2017-11-27,Volume Intensity,0.2583
2017-11-28,Volume Intensity,0.2529
2017-11-29,Volume Intensity,0.2489
2017-11-30,Volume Intensity,0.2318
2017-12-03,Volume Intensity,0.2237
2017-12-04,Volume Intensity,0.2304
2017-12-05,Volume Intensity,0.2176
2017-12-06,Volume Intensity,0.2166
2017-12-07,Volume Intensity,0.2192
2017-12-08,Volume Intensity,0.2199
2017-12-09,Volume Intensity,0.2029
2017-12-10,Volume Intensity,0.1932
2017-12-11,Volume Intensity,0.1986
2017-12-12,Volume Intensity,0.1979
2017-12-13,Volume Intensity,0.1899
2017-12-14,Volume Intensity,0.19
2017-12-15,Volume Intensity,0.2049
2017-12-16,Volume Intensity,0.2185
2017-12-17,Volume Intensity,0.2235
2017-12-18,Volume Intensity,0.2456
2017-12-19,Volume Intensity,0.2561
2017-12-20,Volume Intensity,0.2592
2017-12-21,Volume Intensity,0.2505
2017-12-22,Volume Intensity,0.2228
2017-12-23,Volume Intensity,0.2134
2017-12-24,Volume Intensity,0.1845
2017-12-25,Volume Intensity,0.1682
2017-12-26,Volume Intensity,0.1529
2017-12-27,Volume Intensity,0.1472
2017-12-28,Volume Intensity,0.1623
2017-12-29,Volume Intensity,0.1623
2017-12-30,Volume Intensity,0.1647
2017-12-31,Volume Intensity,0.1973
2018-01-01,Volume Intensity,0.208
2018-01-02,Volume Intensity,0.2195
2018-01-03,Volume Intensity,0.2103
2018-01-04,Volume Intensity,0.2094
2018-01-05,Volume Intensity,0.2158
2018-01-06,Volume Intensity,0.1804
2018-01-07,Volume Intensity,0.1757
2018-01-08,Volume Intensity,0.1688
2018-01-09,Volume Intensity,0.175
2018-01-10,Volume Intensity,0.1754
2018-01-11,Volume Intensity,0.1823
2018-01-12,Volume Intensity,0.1883
2018-01-13,Volume Intensity,0.191
2018-01-14,Volume Intensity,0.1983
2018-01-15,Volume Intensity,0.2036
2018-01-16,Volume Intensity,0.2079
2018-01-17,Volume Intensity,0.206
2018-01-18,Volume Intensity,0.2135
2018-01-19,Volume Intensity,0.2165
2018-01-20,Volume Intensity,0.2078
2018-01-21,Volume Intensity,0.212
2018-01-22,Volume Intensity,0.206
2018-01-23,Volume Intensity,0.199
2018-01-24,Volume Intensity,0.192
2018-01-25,Volume Intensity,0.1975
2018-01-26,Volume Intensity,0.2111
2018-01-27,Volume Intensity,0.2155
2018-01-28,Volume Intensity,0.2408
2018-01-29,Volume Intensity,0.2465
2018-01-30,Volume Intensity,0.247
2018-01-31,Volume Intensity,0.242
2018-02-01,Volume Intensity,0.2392
2018-02-02,Volume Intensity,0.2173
2018-02-03,Volume Intensity,0.2238
2018-02-04,Volume Intensity,0.2261
2018-02-05,Volume Intensity,0.2318
2018-02-06,Volume Intensity,0.2447
2018-02-07,Volume Intensity,0.2417
2018-02-08,Volume Intensity,0.2443
2018-02-09,Volume Intensity,0.215
2018-02-10,Volume Intensity,0.2058
2018-02-11,Volume Intensity,0.1985
2018-02-12,Volume Intensity,0.1853
2018-02-13,Volume Intensity,0.193
2018-02-14,Volume Intensity,0.2112
2018-02-15,Volume Intensity,0.2181
2018-02-16,Volume Intensity,0.2262
2018-02-17,Volume Intensity,0.2319
2018-02-18,Volume Intensity,0.2545
